component,type,loc,filename
logic,implementation,18,./adafs-inode.adb
logic,implementation,18,./adafs-proc.adb
logic,implementation,231,./adafs-operations.adb
logic,implementation,25,./adafs-filp.adb
logic,specification,10,./adafs-bitmap.ads
logic,specification,16,./adafs-superblock.ads
logic,specification,17,./adafs.ads
logic,specification,21,./adafs-operations.ads
logic,specification,30,./adafs-filp.ads
logic,specification,31,./adafs-proc.ads
logic,specification,5,./adafs-boot.ads
logic,specification,52,./adafs-inode.ads
io,implementation,567,./disk-inode.adb
io,implementation,70,./disk-bitmap.adb
io,implementation,73,./disk.adb
io,specification,19,./disk-inode.ads
io,specification,27,./disk-bitmap.ads
io,specification,42,./disk.ads
fuse,implementation,60,./fuse_driver/c_interface.adb
fuse,implementation,126,./fuse_driver/fuse_driver.c
fuse,specification,51,./fuse_driver/c_interface.ads
utility,implementation,212,./mkfs.adb
