ada,c
708,688
128,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,84
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,84
88,84
88,80
88,80
88,80
88,84
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,84
88,80
88,80
88,84
88,84
88,84
88,80
88,80
88,84
88,84
88,80
88,80
88,80
88,84
88,84
88,80
88,80
88,84
88,80
88,80
88,80
88,84
88,80
88,84
88,84
88,80
88,84
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,84
88,80
88,80
88,80
88,80
88,80
88,80
88,84
88,80
88,84
88,80
88,80
88,80
88,84
88,84
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,84
88,80
88,80
88,80
88,84
88,80
88,80
88,84
88,84
88,84
88,80
88,84
88,80
88,80
88,84
88,80
88,84
88,80
88,80
88,80
88,84
88,80
88,84
88,80
88,84
88,80
88,84
88,80
88,84
88,80
88,80
88,80
88,80
88,84
88,84
88,80
88,80
88,80
88,84
88,80
88,80
88,80
88,80
88,84
88,80
88,80
88,80
88,80
88,80
88,84
88,84
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,84
88,80
88,80
88,80
88,84
88,80
88,84
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,84
88,80
88,84
88,80
88,84
88,80
88,80
88,80
88,80
88,80
88,84
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,80
88,84
88,84
88,80
88,80
88,84
88,80
688,364
88,104
92,80
88,84
92,84
88,80
88,80
88,80
88,80
88,80
88,80
92,80
92,80
88,80
88,84
88,80
88,80
88,80
88,80
92,80
88,80
88,80
92,80
88,80
88,80
88,80
88,84
92,80
88,80
88,84
92,80
88,80
88,80
88,84
92,80
88,80
88,80
92,80
92,80
88,84
92,80
92,80
92,80
92,80
88,80
88,80
88,84
88,80
92,80
88,80
92,80
88,84
88,80
88,80
88,84
88,80
92,80
88,80
88,80
92,80
88,80
88,84
92,80
88,80
88,80
92,80
88,80
88,80
88,80
88,80
92,80
92,80
88,84
88,80
92,80
88,80
92,84
88,80
92,80
88,84
88,84
88,84
88,80
88,80
88,84
88,84
88,84
88,80
88,80
88,80
92,80
92,80
92,80
88,80
92,80
88,80
88,80
88,80
88,84
92,80
88,80
88,80
88,80
88,84
88,84
88,84
88,80
88,80
88,84
92,80
92,80
88,80
88,80
92,80
88,84
92,80
88,80
88,80
88,84
88,80
92,80
88,80
88,80
88,80
88,80
88,80
88,84
88,80
88,84
92,80
88,84
88,80
88,84
92,80
92,80
88,80
88,80
92,80
88,84
88,80
88,84
92,80
88,84
88,80
92,80
92,84
88,80
88,84
88,80
88,84
88,84
92,80
88,80
88,80
88,84
88,80
88,84
88,84
88,84
88,80
88,80
88,80
92,80
92,80
88,80
88,80
88,80
88,84
88,80
88,80
92,80
88,80
92,84
88,84
88,80
88,84
92,80
88,80
88,80
92,80
92,80
88,80
88,84
92,80
88,80
88,84
92,80
88,84
92,80
92,80
88,80
88,84
92,80
88,80
88,80
88,80
88,80
92,80
88,80
88,80
88,80
88,80
92,80
88,80
88,80
88,80
88,80
88,84
88,80
88,80
88,80
88,80
92,80
88,80
92,80
88,80
92,80
92,84
88,80
88,80
88,80
88,80
88,80
88,84
88,84
88,84
88,80
88,80
88,80
92,80
88,80
92,80
92,80
92,80
88,80
88,84
88,80
88,80
88,84
88,80
88,80
92,84
88,80
88,80
88,80
92,80
92,80
88,80
88,80
88,80
88,80
92,80
92,80
88,80
88,84
92,80
88,80
88,84
92,80
88,84
92,80
92,80
88,80
88,84
92,80
88,80
88,84
92,80
88,80
92,80
88,80
92,80
88,80
88,80
88,84
88,84
92,80
88,80
92,80
88,84
88,80
88,80
88,80
88,80
88,80
88,84
88,80
88,80
88,84
88,80
88,80
88,80
92,84
88,80
92,80
88,80
92,80
