direct_io,stream_io
3517744,15490111
2242060,1568474
2336052,1932856
1958365,1330473
2540033,1597220
1828288,1579656
1962532,2280617
2004321,1644315
2130895,1368013
1853809,1356230
1566091,1576096
1668864,1358796
1909924,1919825
1954224,1708065
2091210,1373514
2034354,1761684
1772170,1346902
2217045,1297176
2007431,1414067
1633096,1701960
2055350,1462980
1996486,1688266
1607680,1333830
1915741,1706192
1771694,1484764
1803846,1588538
2044074,1787048
2054611,1619741
2118168,1494356
2006296,1593550
1999585,1538583
1859758,1344714
1656158,1347783
2132563,1443758
1963106,1579670
1958101,1380149
1946997,1659395
1922331,1452817
1725137,1298592
1836635,1579358
1944024,1784340
1983195,1318426
1941511,1753652
2119010,1388488
2003726,1864520
2255218,1304114
1973267,1706070
1933756,1967594
1659252,1300534
1829526,1376208
1873728,1485220
1917980,1756843
1928194,1694239
2060042,1376478
1746454,1434769
2036880,1375968
1875579,1584920
1937821,2172212
1882771,1395345
2377742,1791209
1933170,1297898
1910698,1674254
1983036,1372714
2021672,1269324
1783337,1436096
1786767,1398726
2023855,1402801
2211250,1385041
1699354,1338983
2187480,1945957
1889850,1507819
1983940,1377673
2383947,1387957
2130852,1364585
1886462,1759610
1960894,1324859
1891205,1339818
2072281,1334536
1650973,1340985
2042833,1357304
2100799,1368410
1908768,1651112
1904068,1512557
2264463,1364984
1948276,1417510
2011099,1709512
1914063,1709230
1964014,1517688
1979972,1430338
1981554,1371547
1968171,1642297
2152544,1466184
2075426,1767346
2070600,1369513
1777415,1515016
1947547,1417015
1926199,1563201
1920823,1487188
1966072,1629910
2156527,1484583
1957659,1888235
2309642,1375300
1902210,1813984
1952948,1357184
2140185,1410280
2119798,2016668
2121019,1363940
2043733,1676180
2072778,1576688
2268810,1917672
1615522,1364340
1690324,1329538
1672314,1336460
1787682,1463711
1939273,1938695
2454907,1370033
1935619,1728345
1837494,1303899
1812501,1338552
2074544,1848983
1760832,1742974
1896532,1914234
1836968,1580163
2046482,1365730
1849594,1513474
2198096,1388446
1937524,1619562
2325091,1334194
1659806,1307422
1992748,1354798
1964079,1443053
1866899,1586628
1951994,1764262
1939743,1704312
1963555,1998395
1822668,1326976
1821469,1461896
2255361,1379978
1627758,1294533
1883784,1834618
1980174,1335668
1741226,1785218
1998447,1407326
1770772,1391168
1667506,1851384
2543949,1358769
2163970,1500327
1869497,1339783
1909020,1698684
2083693,1359996
2074927,1746391
1799158,1362748
1929816,1733418
1916176,2113845
2277669,1345118
1923363,1686515
2331613,1440300
2169637,1471538
1818101,2033039
2054877,1338614
2063065,1345607
2087021,1400170
1997421,1819891
1745094,1973311
2015685,1888846
2298057,1362757
1854456,1745470
1858587,1489237
1881603,1316145
1969166,1333390
1909913,2082072
2066974,1585065
1974938,1459793
2001494,1545942
1721678,1453276
2051884,1409300
1670428,1336962
1865430,1547041
1912678,1862534
1727317,1417481
1975771,1304922
2048031,1371335
2060273,1371373
2075382,1355368
2047058,1743054
1901966,1920986
1839110,1668390
1913754,1290896
2265819,1616168
1711942,1432131
1935224,1347314
1622707,1311150
2105776,1336566
1913411,1589852
1673070,1775146
1878992,1504204
1919172,1378808
1918887,1708548
1992649,1726549
1786003,1712439
1950087,1397349
2038072,1678610
1817369,1804416
2544017,1349722
1795500,1568198
1892884,1349773
2050504,1709060
1920574,1481666
1647060,1636552
2389447,1835908
1751429,1371089
1978625,1746212
2007058,1406174
2069878,1359112
1964435,1385407
1902282,1366430
2089010,1292162
1821672,1493948
2014349,1917877
1843413,1683879
1861324,1288930
1648396,1372254
2081421,1393233
1743222,1351636
1804222,1374533
1827970,3238275
2037214,1517434
1997598,1470520
1914040,1845875
1977199,1429052
2101980,1380222
2083019,1486003
1943569,1777763
1603338,1409635
2275190,1346174
2411040,1360172
1995235,1507334
1752273,1342918
1732341,1390844
1654902,1529388
1878793,1312276
1750023,1489430
2101736,1390540
1925690,1393784
2087053,1381953
2106186,1491603
2011282,1623056
2233672,1346268
1934796,1937225
2251141,1463559
2038312,1368213
2039730,1406539
2092011,1358705
1983611,1363276
1905796,1881558
2255170,1373059
1706966,1294620
2007023,1350877
2365439,1417091
1976402,1305384
1976324,1406952
2256068,1704924
1815796,1505546
1891086,1375550
1793281,1378532
2172686,1463968
1742314,1660853
1971772,2123621
1926540,1672628
1661360,1681286
1955589,1456600
1885283,1750739
1896318,2168683
2103477,1347743
1923794,1766894
1663178,1302368
2260985,1356434
1829371,2120252
1990504,1420540
1968687,1479507
1917669,1367377
1936030,1683108
1929556,1932654
1880432,1744734
1723944,1362789
2091959,1332872
2026499,1525114
1597716,1525910
1927082,1603058
2153631,1368883
1950398,1476212
1797026,1345030
2088693,1283222
1932477,2075015
2019100,1342228
1942024,1324548
1913966,1392522
2144723,1410119
1870455,1728715
1900114,1654655
2246681,1457240
1976438,1472854
1961883,1330511
1900806,1372476
1945480,1935422
2363233,1585490
1859272,1796514
2033216,1470167
1893914,1611304
2039767,1671002
2019658,1281366
2089172,1289236
1903938,1344778
2094363,1442395
1927856,2104515
2299108,1339596
1862358,1756316
1952241,1634693
1926166,1729494
1973638,1486256
1976103,1423605
1873474,1445535
2411036,1372360
1984239,1379632
2106398,1812715
1639246,1332726
1903158,1950262
1969625,1345897
1599936,1333086
1688632,1330420
1996936,1417576
2115683,1346563
2290179,1398618
1951400,1318822
1968440,1371796
2197208,1763479
1917694,1968488
2079760,1332612
1789349,1442278
1630456,1381056
1960722,1719008
2037290,1708100
1779989,1850812
1935828,1789910
1999229,1620672
