fs,operation,size,cycles
fuse-mfs,create,-1,30863
fuse-mfs,remove,-1,3611
fuse-mfs,write,1,1595
fuse-mfs,write,1024,1391
fuse-mfs,write,10240,1647
fuse-mfs,write,102400,1618
fuse-mfs,read,1,2887
fuse-mfs,read,1024,1354
fuse-mfs,read,10240,1348
fuse-mfs,read,102400,1351
fuse-mfs,create,-1,32210
fuse-mfs,remove,-1,3132
fuse-mfs,write,1,1300
fuse-mfs,write,1024,1190
fuse-mfs,write,10240,1314
fuse-mfs,write,102400,1346
fuse-mfs,read,1,2848
fuse-mfs,read,1024,1258
fuse-mfs,read,10240,1206
fuse-mfs,read,102400,1206
fuse-mfs,create,-1,31630
fuse-mfs,remove,-1,3402
fuse-mfs,write,1,1360
fuse-mfs,write,1024,1230
fuse-mfs,write,10240,1338
fuse-mfs,write,102400,1306
fuse-mfs,read,1,2954
fuse-mfs,read,1024,1208
fuse-mfs,read,10240,1200
fuse-mfs,read,102400,1216
fuse-mfs,create,-1,34788
fuse-mfs,remove,-1,3308
fuse-mfs,write,1,1380
fuse-mfs,write,1024,1262
fuse-mfs,write,10240,1372
fuse-mfs,write,102400,1620
fuse-mfs,read,1,2798
fuse-mfs,read,1024,1260
fuse-mfs,read,10240,1206
fuse-mfs,read,102400,1200
fuse-mfs,create,-1,42208
fuse-mfs,remove,-1,3962
fuse-mfs,write,1,1382
fuse-mfs,write,1024,1192
fuse-mfs,write,10240,1340
fuse-mfs,write,102400,1312
fuse-mfs,read,1,3108
fuse-mfs,read,1024,1220
fuse-mfs,read,10240,1192
fuse-mfs,read,102400,1192
fuse-mfs,create,-1,44819
fuse-mfs,remove,-1,3809
fuse-mfs,write,1,1549
fuse-mfs,write,1024,1371
fuse-mfs,write,10240,1340
fuse-mfs,write,102400,1497
fuse-mfs,read,1,3226
fuse-mfs,read,1024,1275
fuse-mfs,read,10240,1263
fuse-mfs,read,102400,1469
fuse-mfs,create,-1,29210
fuse-mfs,remove,-1,3420
fuse-mfs,write,1,1378
fuse-mfs,write,1024,1272
fuse-mfs,write,10240,1392
fuse-mfs,write,102400,1472
fuse-mfs,read,1,3458
fuse-mfs,read,1024,1262
fuse-mfs,read,10240,1212
fuse-mfs,read,102400,1264
fuse-mfs,create,-1,47276
fuse-mfs,remove,-1,3540
fuse-mfs,write,1,1231
fuse-mfs,write,1024,1192
fuse-mfs,write,10240,1395
fuse-mfs,write,102400,1384
fuse-mfs,read,1,3517
fuse-mfs,read,1024,1192
fuse-mfs,read,10240,1167
fuse-mfs,read,102400,1167
fuse-mfs,create,-1,27904
fuse-mfs,remove,-1,3486
fuse-mfs,write,1,1310
fuse-mfs,write,1024,1200
fuse-mfs,write,10240,1338
fuse-mfs,write,102400,1374
fuse-mfs,read,1,2762
fuse-mfs,read,1024,1262
fuse-mfs,read,10240,1164
fuse-mfs,read,102400,1194
fuse-mfs,create,-1,38176
fuse-mfs,remove,-1,3214
fuse-mfs,write,1,1540
fuse-mfs,write,1024,1190
fuse-mfs,write,10240,1290
fuse-mfs,write,102400,1474
fuse-mfs,read,1,2944
fuse-mfs,read,1024,1228
fuse-mfs,read,10240,1206
fuse-mfs,read,102400,1224
fuse-mfs,create,-1,28382
fuse-mfs,remove,-1,3130
fuse-mfs,write,1,1854
fuse-mfs,write,1024,1200
fuse-mfs,write,10240,1310
fuse-mfs,write,102400,1444
fuse-mfs,read,1,3080
fuse-mfs,read,1024,1270
fuse-mfs,read,10240,1230
fuse-mfs,read,102400,1202
fuse-mfs,create,-1,30829
fuse-mfs,remove,-1,4077
fuse-mfs,write,1,1484
fuse-mfs,write,1024,1331
fuse-mfs,write,10240,1490
fuse-mfs,write,102400,1507
fuse-mfs,read,1,3151
fuse-mfs,read,1024,1363
fuse-mfs,read,10240,1331
fuse-mfs,read,102400,1351
fuse-mfs,create,-1,31606
fuse-mfs,remove,-1,3448
fuse-mfs,write,1,1332
fuse-mfs,write,1024,1248
fuse-mfs,write,10240,1392
fuse-mfs,write,102400,1372
fuse-mfs,read,1,2774
fuse-mfs,read,1024,1262
fuse-mfs,read,10240,1192
fuse-mfs,read,102400,1220
fuse-mfs,create,-1,32919
fuse-mfs,remove,-1,3968
fuse-mfs,write,1,1593
fuse-mfs,write,1024,1323
fuse-mfs,write,10240,1604
fuse-mfs,write,102400,1598
fuse-mfs,read,1,2889
fuse-mfs,read,1024,1354
fuse-mfs,read,10240,1346
fuse-mfs,read,102400,1369
fuse-mfs,create,-1,45868
fuse-mfs,remove,-1,3483
fuse-mfs,write,1,1361
fuse-mfs,write,1024,1169
fuse-mfs,write,10240,1280
fuse-mfs,write,102400,1280
fuse-mfs,read,1,2825
fuse-mfs,read,1024,1213
fuse-mfs,read,10240,1165
fuse-mfs,read,102400,1177
fuse-mfs,create,-1,26592
fuse-mfs,remove,-1,3150
fuse-mfs,write,1,1468
fuse-mfs,write,1024,1234
fuse-mfs,write,10240,1484
fuse-mfs,write,102400,1498
fuse-mfs,read,1,2832
fuse-mfs,read,1024,1262
fuse-mfs,read,10240,1204
fuse-mfs,read,102400,1214
fuse-mfs,create,-1,30408
fuse-mfs,remove,-1,4097
fuse-mfs,write,1,1469
fuse-mfs,write,1024,1308
fuse-mfs,write,10240,2156
fuse-mfs,write,102400,1598
fuse-mfs,read,1,4022
fuse-mfs,read,1024,1202
fuse-mfs,read,10240,1186
fuse-mfs,read,102400,1196
fuse-mfs,create,-1,27633
fuse-mfs,remove,-1,3460
fuse-mfs,write,1,1355
fuse-mfs,write,1024,1152
fuse-mfs,write,10240,1267
fuse-mfs,write,102400,1278
fuse-mfs,read,1,2639
fuse-mfs,read,1024,1183
fuse-mfs,read,10240,1156
fuse-mfs,read,102400,1173
fuse-mfs,create,-1,36822
fuse-mfs,remove,-1,3329
fuse-mfs,write,1,1328
fuse-mfs,write,1024,1154
fuse-mfs,write,10240,1301
fuse-mfs,write,102400,1307
fuse-mfs,read,1,2904
fuse-mfs,read,1024,1175
fuse-mfs,read,10240,1139
fuse-mfs,read,102400,1154
fuse-mfs,create,-1,53604
fuse-mfs,remove,-1,3807
fuse-mfs,write,1,1618
fuse-mfs,write,1024,1478
fuse-mfs,write,10240,1731
fuse-mfs,write,102400,1777
fuse-mfs,read,1,3128
fuse-mfs,read,1024,1472
fuse-mfs,read,10240,1423
fuse-mfs,read,102400,1446
fuse-mfs,create,-1,34533
fuse-mfs,remove,-1,3910
fuse-mfs,write,1,1336
fuse-mfs,write,1024,1240
fuse-mfs,write,10240,1261
fuse-mfs,write,102400,1328
fuse-mfs,read,1,2850
fuse-mfs,read,1024,1185
fuse-mfs,read,10240,1175
fuse-mfs,read,102400,1182
fuse-mfs,create,-1,27474
fuse-mfs,remove,-1,3466
fuse-mfs,write,1,1304
fuse-mfs,write,1024,1200
fuse-mfs,write,10240,1302
fuse-mfs,write,102400,1374
fuse-mfs,read,1,2816
fuse-mfs,read,1024,1266
fuse-mfs,read,10240,1192
fuse-mfs,read,102400,1234
fuse-mfs,create,-1,26404
fuse-mfs,remove,-1,3268
fuse-mfs,write,1,1336
fuse-mfs,write,1024,1225
fuse-mfs,write,10240,1334
fuse-mfs,write,102400,1464
fuse-mfs,read,1,3026
fuse-mfs,read,1024,1221
fuse-mfs,read,10240,1190
fuse-mfs,read,102400,1217
fuse-mfs,create,-1,39392
fuse-mfs,remove,-1,3494
fuse-mfs,write,1,1298
fuse-mfs,write,1024,1204
fuse-mfs,write,10240,1354
fuse-mfs,write,102400,1372
fuse-mfs,read,1,2790
fuse-mfs,read,1024,1212
fuse-mfs,read,10240,1210
fuse-mfs,read,102400,1258
fuse-mfs,create,-1,30178
fuse-mfs,remove,-1,3394
fuse-mfs,write,1,1384
fuse-mfs,write,1024,1276
fuse-mfs,write,10240,1302
fuse-mfs,write,102400,1416
fuse-mfs,read,1,2854
fuse-mfs,read,1024,1254
fuse-mfs,read,10240,1198
fuse-mfs,read,102400,1240
fuse-mfs,create,-1,30534
fuse-mfs,remove,-1,3552
fuse-mfs,write,1,1346
fuse-mfs,write,1024,1198
fuse-mfs,write,10240,1294
fuse-mfs,write,102400,1326
fuse-mfs,read,1,3360
fuse-mfs,read,1024,1210
fuse-mfs,read,10240,1204
fuse-mfs,read,102400,1206
fuse-mfs,create,-1,33558
fuse-mfs,remove,-1,3125
fuse-mfs,write,1,1429
fuse-mfs,write,1024,1279
fuse-mfs,write,10240,1540
fuse-mfs,write,102400,1567
fuse-mfs,read,1,2871
fuse-mfs,read,1024,1288
fuse-mfs,read,10240,1260
fuse-mfs,read,102400,1306
fuse-mfs,create,-1,43990
fuse-mfs,remove,-1,3250
fuse-mfs,write,1,1336
fuse-mfs,write,1024,1264
fuse-mfs,write,10240,1506
fuse-mfs,write,102400,1380
fuse-mfs,read,1,3634
fuse-mfs,read,1024,1302
fuse-mfs,read,10240,1186
