fs,operation,size,cycles
adafs,create,-1,517028861
adafs,remove,-1,395528
adafs,write,1,2208
adafs,write,1024,2124
adafs,write,10240,2304
adafs,write,102400,2428
adafs,read,1,6032
adafs,read,1024,2608
adafs,read,10240,2540
adafs,read,102400,2688
adafs,create,-1,503715027
adafs,remove,-1,386168
adafs,write,1,1754
adafs,write,1024,1518
adafs,write,10240,1518
adafs,write,102400,1826
adafs,read,1,4736
adafs,read,1024,2104
adafs,read,10240,2080
adafs,read,102400,1858
adafs,create,-1,501455296
adafs,remove,-1,407422
adafs,write,1,1756
adafs,write,1024,1664
adafs,write,10240,1768
adafs,write,102400,1698
adafs,read,1,5322
adafs,read,1024,1970
adafs,read,10240,1854
adafs,read,102400,1870
adafs,create,-1,495248482
adafs,remove,-1,405896
adafs,write,1,2538
adafs,write,1024,2290
adafs,write,10240,2844
adafs,write,102400,2292
adafs,read,1,6200
adafs,read,1024,2808
adafs,read,10240,2712
adafs,read,102400,2660
adafs,create,-1,495961288
adafs,remove,-1,430796
adafs,write,1,1815
adafs,write,1024,1677
adafs,write,10240,1679
adafs,write,102400,1704
adafs,read,1,4203
adafs,read,1024,2014
adafs,read,10240,2012
adafs,read,102400,2062
adafs,create,-1,491759886
adafs,remove,-1,281965
adafs,write,1,1738
adafs,write,1024,1865
adafs,write,10240,1648
adafs,write,102400,1625
adafs,read,1,4012
adafs,read,1024,1815
adafs,read,10240,1796
adafs,read,102400,1779
adafs,create,-1,502179124
adafs,remove,-1,290868
adafs,write,1,1674
adafs,write,1024,1562
adafs,write,10240,1586
adafs,write,102400,1592
adafs,read,1,8046
adafs,read,1024,2694
adafs,read,10240,2664
adafs,read,102400,2602
adafs,create,-1,525355725
adafs,remove,-1,594895
adafs,write,1,1702
adafs,write,1024,2544
adafs,write,10240,1729
adafs,write,102400,1727
adafs,read,1,4954
adafs,read,1024,2198
adafs,read,10240,2154
adafs,read,102400,1950
adafs,create,-1,519801748
adafs,remove,-1,393848
adafs,write,1,2200
adafs,write,1024,2160
adafs,write,10240,2368
adafs,write,102400,2216
adafs,read,1,4538
adafs,read,1024,2106
adafs,read,10240,1856
adafs,read,102400,1896
adafs,create,-1,558744464
adafs,remove,-1,487949
adafs,write,1,1700
adafs,write,1024,1762
adafs,write,10240,1720
adafs,write,102400,1820
adafs,read,1,7344
adafs,read,1024,2106
adafs,read,10240,1922
adafs,read,102400,2016
adafs,create,-1,507255766
adafs,remove,-1,336708
adafs,write,1,1968
adafs,write,1024,1572
adafs,write,10240,1580
adafs,write,102400,1586
adafs,read,1,5324
adafs,read,1024,1974
adafs,read,10240,1836
adafs,read,102400,1888
adafs,create,-1,496315893
adafs,remove,-1,291410
adafs,write,1,1816
adafs,write,1024,1678
adafs,write,10240,1777
adafs,write,102400,1771
adafs,read,1,5486
adafs,read,1024,1878
adafs,read,10240,1788
adafs,read,102400,1907
adafs,create,-1,489936805
adafs,remove,-1,295820
adafs,write,1,1638
adafs,write,1024,1730
adafs,write,10240,1512
adafs,write,102400,1560
adafs,read,1,4466
adafs,read,1024,2066
adafs,read,10240,2045
adafs,read,102400,1915
adafs,create,-1,512507211
adafs,remove,-1,293568
adafs,write,1,1714
adafs,write,1024,1768
adafs,write,10240,1770
adafs,write,102400,1726
adafs,read,1,4620
adafs,read,1024,1948
adafs,read,10240,1910
adafs,read,102400,2010
adafs,create,-1,501087610
adafs,remove,-1,317287
adafs,write,1,1555
adafs,write,1024,1527
adafs,write,10240,1641
adafs,write,102400,1744
adafs,read,1,4896
adafs,read,1024,2152
adafs,read,10240,2188
adafs,read,102400,2146
adafs,create,-1,511690671
adafs,remove,-1,294964
adafs,write,1,1952
adafs,write,1024,1678
adafs,write,10240,1688
adafs,write,102400,1766
adafs,read,1,4305
adafs,read,1024,2056
adafs,read,10240,2001
adafs,read,102400,1974
adafs,create,-1,480450291
adafs,remove,-1,428805
adafs,write,1,2022
adafs,write,1024,2544
adafs,write,10240,2538
adafs,write,102400,2538
adafs,read,1,5678
adafs,read,1024,2116
adafs,read,10240,2134
adafs,read,102400,2392
adafs,create,-1,501408535
adafs,remove,-1,287747
adafs,write,1,1792
adafs,write,1024,1652
adafs,write,10240,1637
adafs,write,102400,1716
adafs,read,1,4648
adafs,read,1024,2036
adafs,read,10240,2022
adafs,read,102400,2028
adafs,create,-1,493845505
adafs,remove,-1,284861
adafs,write,1,1595
adafs,write,1024,1539
adafs,write,10240,1562
adafs,write,102400,1600
adafs,read,1,4360
adafs,read,1024,1898
adafs,read,10240,1821
adafs,read,102400,1827
adafs,create,-1,498422346
adafs,remove,-1,294590
adafs,write,1,1852
adafs,write,1024,1582
adafs,write,10240,1588
adafs,write,102400,2642
adafs,read,1,5690
adafs,read,1024,1907
adafs,read,10240,1936
adafs,read,102400,1946
adafs,create,-1,514831921
adafs,remove,-1,400884
adafs,write,1,2068
adafs,write,1024,1480
adafs,write,10240,1541
adafs,write,102400,1618
adafs,read,1,4412
adafs,read,1024,1926
